"1","siteurl","http://localhost/TRAVAIL/stageProjet2/wordpress","yes"
"2","home","http://localhost/TRAVAIL/stageProjet2/wordpress","yes"
"3","blogname","MSR","yes"
"4","blogdescription","Maestro Sprint-Review","yes"
"5","users_can_register","0","yes"
"6","admin_email","dcl.francisy@18pixel.fr","yes"
"7","start_of_week","1","yes"
"8","use_balanceTags","0","yes"
"9","use_smilies","1","yes"
"10","require_name_email",,"yes"
"11","comments_notify",,"yes"
"12","posts_per_rss","5","yes"
"13","rss_use_excerpt","0","yes"
"14","mailserver_url","mail.example.com","yes"
"15","mailserver_login","login@example.com","yes"
"16","mailserver_pass","password","yes"
"17","mailserver_port","110","yes"
"18","default_category","1","yes"
"19","default_comment_status","closed","yes"
"20","default_ping_status","closed","yes"
"21","default_pingback_flag",,"yes"
"22","posts_per_page","5","yes"
"23","date_format","j F Y","yes"
"24","time_format","G \h i \m\i\n","yes"
"25","links_updated_date_format","j F Y G \h i \m\i\n","yes"
"26","comment_moderation",,"yes"
"27","moderation_notify",,"yes"
"28","permalink_structure","/index.php/%year%/%monthnum%/%day%/%postname%/","yes"
